[2026-04-27T15:49:32.053Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-RLMGAKMB.js?v=6f92c15b → 200 (?ms, 37296B)
[2026-04-27T15:49:32.055Z] GET http://localhost:5173/src/components/Topology/Link.jsx → 200 (1ms, 11618B)
[2026-04-27T15:49:32.055Z] GET http://localhost:5173/src/components/Topology/Node.jsx → 200 (1ms, 24489B)
[2026-04-27T15:49:32.060Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=Space+Mono:wght@400;700&display=swap → 200 (?ms, 7680B)
[2026-04-27T15:49:32.076Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4Cw.woff2 → 200 (?ms, ?B)
[2026-04-27T15:49:32.076Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dPIFZifjKcF5UAWdDRYEF8RQ.woff2 → 200 (1ms, ?B)
[2026-04-27T15:49:32.077Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (?ms, ?B)
[2026-04-27T15:49:32.080Z] GET http://localhost:5173/src/sections/Projects.jsx → 200 (19ms, 18460B)
[2026-04-27T15:49:32.080Z] GET http://localhost:5173/src/sections/Skills.jsx → 200 (22ms, 17518B)
[2026-04-27T15:49:32.080Z] GET http://localhost:5173/src/sections/Experience.jsx → 200 (23ms, 17487B)
[2026-04-27T15:49:32.080Z] GET http://localhost:5173/src/sections/Certifications.jsx → 200 (24ms, 10664B)
[2026-04-27T15:49:32.080Z] GET http://localhost:5173/src/sections/FieldOps.jsx → 200 (25ms, 10416B)
[2026-04-27T15:49:32.080Z] GET http://localhost:5173/src/sections/Achievements.jsx → 200 (25ms, 6620B)
[2026-04-27T15:49:32.080Z] GET http://localhost:5173/src/sections/Contact.jsx → 200 (26ms, 12798B)
[2026-04-27T16:14:53.751Z] GET http://localhost:5174/ → 200 (25ms, 793B)
[2026-04-27T16:14:53.790Z] GET http://localhost:5174/@vite/client → 200 (276ms, 137703B)
[2026-04-27T16:14:53.790Z] GET http://localhost:5174/src/main.jsx → 200 (264ms, 2209B)
[2026-04-27T16:14:53.791Z] GET http://localhost:5174/@react-refresh → 200 (276ms, 117548B)
[2026-04-27T16:14:54.055Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=6f92c15b → 200 (17ms, 36963B)
[2026-04-27T16:14:54.055Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=6f92c15b → 200 (14ms, 155B)
[2026-04-27T16:14:54.055Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=6f92c15b → 200 (16ms, 1054B)
[2026-04-27T16:14:54.055Z] GET http://localhost:5174/src/App.jsx → pending (?ms, ?B)
[2026-04-27T16:14:54.055Z] GET http://localhost:5174/src/styles/theme.css → pending (?ms, ?B)
[2026-04-27T16:14:54.067Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → pending (?ms, ?B)
[2026-04-27T16:14:54.071Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-2YIMICFJ.js?v=6f92c15b → pending (?ms, ?B)
[2026-04-27T16:14:54.072Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-BCXODTBQ.js?v=6f92c15b → pending (?ms, ?B)
[2026-04-27T16:14:54.155Z] GET http://localhost:5174/src/components/Topology/HeroTopology.jsx → 200 (76ms, 37604B)
[2026-04-27T16:14:54.155Z] GET http://localhost:5174/src/components/Inspector/InspectorPanel.jsx → 200 (70ms, 43766B)
[2026-04-27T16:14:54.155Z] GET http://localhost:5174/src/data/portfolioData.js → 200 (68ms, 71529B)
[2026-04-27T16:14:54.225Z] GET http://localhost:5174/node_modules/.vite/deps/framer-motion.js?v=6f92c15b → 200 (24ms, 358237B)
[2026-04-27T16:14:54.231Z] GET http://localhost:5174/src/components/Topology/TopologyCanvas.jsx → 200 (25ms, 25750B)
[2026-04-27T16:14:54.231Z] GET http://localhost:5174/src/hooks/useReducedMotion.js → 200 (11ms, 3125B)
[2026-04-27T16:14:54.249Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-RLMGAKMB.js?v=6f92c15b → 200 (6ms, 37296B)
[2026-04-27T16:14:54.256Z] GET http://localhost:5174/src/components/Topology/Link.jsx → 200 (18ms, 11618B)
[2026-04-27T16:14:54.256Z] GET http://localhost:5174/src/components/Topology/Node.jsx → 200 (21ms, 24489B)
[2026-04-27T16:14:54.318Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=Space+Mono:wght@400;700&display=swap → 200 (3ms, 7680B)
[2026-04-27T16:14:54.370Z] GET http://localhost:5174/src/sections/Projects.jsx → 200 (53ms, 18460B)
[2026-04-27T16:14:54.370Z] GET http://localhost:5174/src/sections/Skills.jsx → 200 (54ms, 17518B)
[2026-04-27T16:14:54.370Z] GET http://localhost:5174/src/sections/Experience.jsx → 200 (57ms, 17487B)
[2026-04-27T16:14:54.370Z] GET http://localhost:5174/src/sections/Certifications.jsx → 200 (59ms, 10664B)
[2026-04-27T16:14:54.370Z] GET http://localhost:5174/src/sections/FieldOps.jsx → 200 (57ms, 10416B)
[2026-04-27T16:14:54.370Z] GET http://localhost:5174/src/sections/Achievements.jsx → 200 (59ms, 6620B)
